[1.23, 20, 44, 54, 84, 88, 52, 64, 82, 76, 40, 20, 46, 56, 52, 96, 104, 86, 46, 2, 0]
[0.88, 24, 46, 66, 90, 52, 64, 72, 70, 26, 0, 20, 38, 52, 50, 52, 96, 108, 90, 84, 28]
[1.25, 20, 44, 52, 80, 92, 48, 68, 84, 68, 40, 20, 46, 56, 52, 100, 104, 84, 40, 0, 0]
[0.86, 24, 48, 68, 92, 48, 64, 72, 66, 16, 0, 20, 40, 54, 50, 56, 92, 106, 92, 76, 28]
[1.27, 20, 48, 60, 84, 88, 52, 64, 82, 72, 40, 20, 46, 56, 56, 102, 102, 84, 24, 0, 0]
[0.84, 24, 48, 68, 92, 48, 64, 72, 64, 12, 0, 20, 40, 60, 44, 56, 96, 104, 88, 76, 28]
[1.27, 20, 44, 60, 88, 96, 48, 64, 74, 80, 44, 20, 44, 55, 56, 102, 102, 84, 24, 0, 0]
[0.82, 24, 48, 68, 92, 48, 65, 74, 56, 4, 0, 20, 36, 66, 52, 58, 96, 106, 90, 80, 24]
[1.3, 20, 46, 56, 80, 92, 48, 68, 80, 82, 44, 20, 43, 53, 60, 106, 96, 76, 16, 0, 0]
[0.81, 24, 50, 68, 92, 48, 67, 75, 44, 0, 0, 20, 38, 52, 50, 60, 96, 104, 90, 76, 24]
[1.32, 22, 44, 52, 84, 96, 48, 64, 78, 72, 40, 22, 43, 55, 64, 106, 94, 72, 12, 0, 0]
[0.79, 24, 50, 68, 92, 50, 68, 76, 38, 0, 0, 20, 40, 58, 44, 54, 96, 108, 88, 80, 24]
[1.35, 22, 44, 56, 80, 92, 48, 68, 80, 76, 40, 22, 43, 56, 64, 106, 92, 72, 8, 0, 0]
[0.78, 26, 50, 72, 84, 54, 67, 74, 26, 0, 0, 20, 40, 60, 46, 60, 98, 104, 88, 72, 26]
[1.0, 43, 42, 52, 96, 70, 24, 40, 88, 79, 61, 34, 38, 61, 74, 85, 86, 96, 86, 90, 85]
[1.77, 50, 44, 46, 90, 64, 22, 40, 84, 84, 60, 35, 70, 81, 98, 88, 47, 0, 0, 0, 0]
[1.73, 40, 46, 52, 100, 70, 20, 48, 94, 70, 40, 35, 55, 82, 94, 84, 66, 0, 0, 0, 0]
[1.82, 44, 50, 50, 90, 70, 20, 38, 78, 86, 60, 37, 70, 79, 102, 86, 42, 0, 0, 0, 0]
[1.65, 46, 46, 56, 100, 70, 20, 34, 94, 84, 60, 32, 51, 79, 88, 88, 81, 0, 0, 0, 0]
[1.86, 46, 44, 46, 84, 64, 22, 48, 84, 80, 60, 35, 72, 88, 110, 96, 22, 0, 0, 0, 0]
[1.58, 46, 46, 44, 92, 70, 20, 48, 84, 84, 60, 36, 57, 81, 94, 86, 92, 18, 0, 0, 0]
[1.91, 46, 50, 50, 90, 70, 24, 40, 88, 82, 60, 38, 72, 88, 106, 98, 12, 0, 0, 0, 0]
[1.58, 40, 46, 56, 100, 70, 20, 48, 88, 70, 40, 36, 48, 75, 86, 92, 90, 30, 0, 0, 0]
[1.91, 50, 50, 48, 94, 58, 20, 48, 88, 82, 60, 38, 72, 88, 106, 98, 12, 0, 0, 0, 0]
[1.58, 42, 40, 56, 100, 70, 20, 38, 94, 82, 50, 35, 55, 79, 88, 94, 90, 30, 0, 0, 0]
[1.95, 44, 44, 46, 94, 64, 22, 50, 92, 82, 60, 38, 72, 88, 104, 94, 6, 0, 0, 0, 0]
[1.52, 46, 40, 56, 100, 70, 20, 48, 84, 84, 60, 35, 55, 77, 86, 92, 90, 38, 0, 0, 0]
[2.0, 44, 44, 48, 92, 58, 20, 44, 90, 84, 60, 38, 72, 90, 102, 90, 0, 0, 0, 0, 0]
[1.46, 46, 46, 56, 100, 70, 20, 48, 94, 84, 60, 36, 55, 74, 85, 100, 86, 65, 0, 0, 0]
[2.0, 46, 50, 44, 84, 70, 24, 48, 78, 84, 60, 38, 72, 83, 92, 87, 0, 0, 0, 0, 0]
[1.46, 42, 40, 56, 100, 70, 20, 38, 94, 82, 50, 36, 46, 74, 85, 100, 86, 75, 0, 0, 0]
[2.05, 46, 52, 50, 84, 64, 22, 40, 76, 84, 64, 39, 74, 88, 92, 68, 0, 0, 0, 0, 0]
[1.41, 46, 46, 56, 100, 70, 20, 48, 94, 84, 60, 36, 44, 74, 84, 96, 92, 86, 6, 0, 0]
[2.09, 42, 46, 48, 78, 76, 24, 38, 80, 86, 64, 37, 74, 87, 90, 59, 0, 0, 0, 0, 0]
[1.36, 46, 46, 56, 100, 70, 20, 48, 94, 84, 60, 36, 42, 72, 84, 92, 88, 92, 18, 0, 0]
[2.09, 44, 48, 44, 90, 58, 20, 46, 80, 86, 64, 37, 74, 87, 90, 59, 0, 0, 0, 0, 0]
[1.36, 46, 46, 56, 100, 70, 20, 48, 94, 84, 60, 36, 55, 76, 85, 94, 88, 92, 18, 0, 0]
[2.14, 48, 50, 50, 92, 70, 22, 40, 84, 86, 64, 40, 74, 89, 88, 50, 0, 0, 0, 0, 0]
[1.36, 46, 46, 56, 100, 70, 20, 48, 94, 84, 60, 36, 42, 72, 84, 92, 88, 92, 18, 0, 0]
[2.18, 48, 44, 44, 90, 64, 24, 50, 86, 82, 64, 40, 76, 98, 99, 41, 0, 0, 0, 0, 0]
[1.31, 46, 46, 56, 100, 70, 20, 48, 94, 84, 60, 36, 42, 74, 84, 90, 90, 90, 47, 0, 0]
[2.23, 44, 48, 50, 86, 70, 22, 46, 84, 84, 64, 40, 76, 100, 98, 32, 0, 0, 0, 0, 0]
[1.27, 46, 46, 56, 100, 70, 20, 48, 94, 84, 60, 36, 42, 72, 84, 96, 88, 90, 65, 0, 0]
[2.27, 44, 52, 48, 84, 64, 24, 40, 84, 84, 64, 40, 76, 100, 98, 32, 0, 0, 0, 0, 0]
[1.27, 46, 46, 56, 100, 70, 20, 48, 94, 84, 60, 36, 36, 68, 84, 90, 88, 90, 65, 0, 0]
[0.89, 20, 38, 48, 58, 64, 74, 68, 70, 52, 0, 28, 40, 44, 20, 68, 116, 100, 58, 26, 20]
[1.62, 20, 32, 44, 48, 60, 66, 68, 72, 74, 66, 30, 33, 44, 95, 74, 24, 2, 0, 0, 0]
[1.52, 20, 36, 44, 50, 50, 68, 54, 68, 66, 66, 30, 39, 32, 103, 94, 33, 10, 0, 0, 0]
[1.65, 20, 28, 48, 44, 56, 68, 66, 76, 70, 58, 30, 32, 48, 102, 72, 22, 0, 0, 0, 0]
[1.52, 20, 30, 44, 60, 60, 72, 66, 74, 76, 66, 36, 33, 37, 92, 80, 29, 10, 0, 0, 0]
[1.65, 20, 28, 48, 62, 56, 64, 70, 72, 76, 66, 30, 32, 46, 100, 68, 22, 0, 0, 0, 0]
[1.46, 20, 36, 44, 50, 60, 58, 54, 72, 76, 66, 36, 34, 34, 102, 97, 33, 16, 0, 0, 0]
[1.69, 20, 28, 40, 58, 58, 66, 68, 74, 76, 66, 30, 32, 47, 98, 61, 18, 0, 0, 0, 0]
[1.38, 20, 40, 52, 56, 60, 74, 66, 74, 76, 66, 30, 39, 20, 83, 108, 61, 20, 4, 0, 0]
[1.73, 20, 28, 44, 48, 56, 64, 68, 74, 70, 66, 32, 31, 52, 101, 52, 14, 0, 0, 0, 0]
[1.37, 20, 36, 44, 48, 58, 60, 56, 72, 76, 66, 30, 39, 30, 88, 104, 53, 22, 6, 0, 0]
[1.77, 20, 30, 48, 60, 58, 66, 66, 72, 76, 54, 32, 30, 56, 104, 48, 12, 0, 0, 0, 0]
